Canton;Candidato; Partido 
Zapotillo;Yuliana Rogel Moncada;Movimiento Alianza Fronteriza

Babahoyo;Johnny Terán;PSC
Baba;Mónica Salazar;SUMA
Buena Fe;Eduardo Mendoza;Avanza
Mocache;Leandro Ullon Rodríguez;PSP
Montalvo;Elifonso Cortez;PSP
Palenque;Alberto Ullon Loor;SUMA
Puebloviejo;Carlos Ortega Barzola;Alianza PAIS
Quevedo;Jorge Domínguez López;Avanza
Quinsaloma;Braulio Manobanda Muñoz;Alianza PAIS
Urdaneta;Emilio Subia Vera;PRE
Valencia;Juan Carlos Troya Fuertes;Alianza PAIS
Ventanas;Patricio Urrutia;Alianza PAIS
Vinces;Cristian Raul Villasagua;Alianza PAIS
Portoviejo;Agustín Casanova Cedeño;SUMA
24 de mayo;Ramon Vicente Cedeño;SUMA
Bolivar;Ramón González;SUMA
Chone;Deyton Alcivar;Avanza
El Carmen;Hugo Benjamin Cruz Andrade;Alianza PAIS
Flavio Alfaro;Eduardo Cedeño Mendoza;Avanza
Jama;Angel Rojas;Alianza PAIS
Jaramijo;Bawer Bailon Pico;PS-FA
Jipijapa;Teodoro Andrade Almeida;Avanza
Junin;Kleber Solorzano Villavicencio;Alianza PAIS
Manta;Jorge Zambrano;SUMA
Montecristi;Ricardo Quijije Anchundia;SUMA
Olmedo;Jacinto Zamora;Alianza PAIS
Pajan;Galo Borbor Flores;Alianza PAIS
Pedernales;Gabriel Alcivar Robles;PS-FA
Pichincha;Nilo Alava Molina;Avanza
Puerto López;Miguel Plua;Avanza
Rocafuerte;Pacifico Zambrano;Avanza
San Vicente;Rossana Cevallos;Alianza PAIS
Santa Ana;Fernando Cedeño;Alianza PAIS
Sucre;Manuel Gilces Mero;PS-FA
Tosagua;Leonardo Sánchez;Avanza
Macas;Roberto Villareal Cambizaca;Alianza PAIS
Gualaquiza;Patricio Avila Choco;Pachakutik
Huamboya;Ramón Martínez Jua Yurangui;PSP
Limon Indanza;Freddy Torres;Alianza PAIS
Logroño;Rosendo Nurinkias;Pachakutik
Pablo Sexto;Rafael Antuni;Pachakutik
Palora;Marcelo Porras;Alianza PAIS
San Juan Bosco;Cristiam Saquicela Galarza;Alianza PAIS
Santiago;Segundo Rafael Ruiz Rodríguez;PSP
Sucua;Gilberto Saul Cardenas Riera;Alianza PAIS
Taisha;Cergio Ayuy;Pachakutik
Tiwintza;Oswaldo Mankash;Pachakutik
Tena;Kléver Estanislao Ron;CREO
Archidona;Jaime Shiguango Pisango;Alianza PAIS
Carlos Julio Arosemena Tola;Luis Rodrigo Caiza Curipallo;Alianza PAIS
El Chaco;Duval García;PSP
Quijos;Javier Vinueza;PSP
Pastaza - Puyo;Roberto de la Torre;SUMA
Arajuno;Elario Tanguila;Pachakutik
Mera;Gustavo Silva;Unidos por Pastaza - Movimiento Cantonal del Pueblo

Santa Clara;César Castro;Alianza PAIS
Quito;Mauricio Rodas Espinel;SUMA
Cayambe;Guillermo Churuchumbi;Pachakutik
Mejía;Ramiro Barros;Alianza PAIS
Pedro Moncayo;Frank Borys Gualsaqui;Alianza PAIS
Pedro Vicente Maldonado;Fabrisio Ambuludi Bustamante;Avanza
Puerto Quito;Narciza Antonia Parraga Ibarra;PS-FA
Rumiñahui;Hector Jacome Mantilla;PS-FA
San Miguel de los Bancos;Sulema Pizarro;Alianza PAIS
Francisco de Orellana;Anita Rivas;Alianza PAIS
Aguarico;Franklin Cox Sanmiguel;Alianza PAIS
La Joya de los Sachas;Rodrigo Fabian Roman Galarza;Pachakutik
Loreto;Welington Serrano Bonilla;Pachakutik
Santa Elena;Dionicio Gonzabay;Movimiento Frente de Lucha Ciudadana

Salinas;Daniel Cisneros;Alianza PAIS
La Libertad;Antonio Espinoza Infante;CREO
Santo Domingo de los Colorados;Víctor Quirola;Avanza
La Concordia;Walter Andrade;Alianza PAIS
Lago Agrio - Nueva Loja;Vinicio Vega Jiménez;PSP
Cascales;Jaime Ruben Riera Rodríguez;Pachakutik
Cuyabeno;Alipio Amador Campoverde;Avanza
Gonzalo Pizarro;Luis Ordoñez Inga;PSP
Putumayo;Genny Piedad Ron Bustos;Pachakutik
